,39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40
25982,17, Private,286960, 11th,7, Never-married, Prof-specialty, Own-child, White, Male,0,0,40
32084,42, Private,169995, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45
21892,29, Private,157262, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,45
17115,44, Self-emp-not-inc,201742, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2415,50
23806,25, Private,95691, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,0,0,30
4612,77, ?,232894, 9th,5, Married-civ-spouse, ?, Husband, Black, Male,0,0,40
16227,32, Private,166634, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40
3999,63, Private,171635, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40
10216,49, Private,133729, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,17
15172,28, Private,222442, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,51
16774,18, Private,362302, 12th,8, Never-married, Other-service, Own-child, White, Male,0,0,15
15606,21, Private,195532, HS-grad,9, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40
9800,36, Private,188069, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50
7522,29, Private,109621, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40
24321,22, Private,115244, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40
31347,60, Private,232242, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40
13387,26, Local-gov,211497, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40
1856,18, Private,152545, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,8
13534,54, Private,163671, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1887,65
14910,67, ?,188903, 7th-8th,4, Married-civ-spouse, ?, Husband, White, Male,2414,0,40
24123,41, Private,39581, Some-college,10, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,24
24799,37, Self-emp-not-inc,188563, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,4386,0,50
19194,62, Self-emp-inc,24050, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,0,0,15
25500,38, State-gov,321943, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40
9649,69, ?,167826, Bachelors,13, Married-civ-spouse, ?, Husband, White, Male,0,0,40
9204,48, Federal-gov,156410, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,50
373,44, Private,160323, HS-grad,9, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40
4204,25, Private,73895, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,10
20716,24, Local-gov,32950, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35
20721,32, Self-emp-inc,343872, Some-college,10, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,35
27738,34, Private,116910, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50
27156,62, Self-emp-not-inc,122246, Masters,14, Divorced, Prof-specialty, Unmarried, White, Female,0,0,32
13108,34, Private,737315, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40
9296,47, Private,202856, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,36
26471,39, Private,234901, Assoc-acdm,12, Separated, Adm-clerical, Unmarried, White, Male,0,0,40
15467,29, Private,37933, 12th,8, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0,0,40
28535,38, Self-emp-inc,140854, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50
17892,35, Private,139086, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40
24953,17, Private,160968, 11th,7, Never-married, Adm-clerical, Own-child, White, Male,0,0,16
30969,34, Local-gov,31391, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,53
3224,42, Self-emp-not-inc,157562, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,1902,80
25426,54, Local-gov,184620, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40
10988,60, Local-gov,124987, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,40
30167,32, Private,178623, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Female,0,0,46
30814,54, Self-emp-not-inc,28186, Bachelors,13, Divorced, Farming-fishing, Not-in-family, White, Male,27828,0,50
1672,20, Private,180052, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,20
18417,35, Private,401930, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,1887,42
21278,47, Local-gov,183486, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50
23304,37, Private,292855, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1887,35
20358,41, Private,287037, Some-college,10, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40
12321,57, Private,175942, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50
13744,19, Private,172368, 11th,7, Never-married, Transport-moving, Own-child, White, Male,0,0,20
9009,22, Private,123876, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,20
1276,67, Private,171584, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,6514,0,7
8008,44, Self-emp-inc,269733, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,30
31975,40, Private,259307, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50
13902,39, Private,76767, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,60
2834,17, Private,400225, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,20
24265,56, Private,238806, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,26
8401,69, Private,228921, Bachelors,13, Widowed, Prof-specialty, Not-in-family, White, Male,0,2282,40
16208,25, Private,306513, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45
13463,45, Private,162915, Some-college,10, Divorced, Transport-moving, Not-in-family, White, Male,0,0,50
15777,27, ?,182386, 11th,7, Divorced, ?, Unmarried, White, Female,0,0,35
8030,34, Private,176831, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40
18438,57, Private,158827, HS-grad,9, Separated, Craft-repair, Unmarried, White, Male,0,0,40
10660,59, Private,122283, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,99999,0,40
416,30, Private,426017, 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,19
23365,53, Local-gov,200190, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,55
26020,39, Private,188503, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,60
9336,27, State-gov,340269, Some-college,10, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40
11078,35, Private,150057, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40
27950,34, Private,148207, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65
16480,26, Private,311497, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40
5025,59, Local-gov,196013, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40
31880,52, Federal-gov,76131, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,40
7878,51, Private,186303, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40
27717,42, Private,303388, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65
24324,19, Private,198459, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,0,2001,40
16641,18, ?,195981, HS-grad,9, Widowed, ?, Own-child, White, Male,0,0,40
12029,45, Private,217654, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40
2046,53, Private,166368, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40
17025,36, Private,207853, HS-grad,9, Divorced, Craft-repair, Own-child, White, Male,0,0,40
29527,20, Private,164441, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0,0,40
23312,56, Private,117872, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40
19786,29, Private,46609, 10th,6, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40
16789,51, Private,118793, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70
15862,34, Private,220631, Assoc-voc,11, Never-married, Other-service, Not-in-family, White, Male,0,0,50
1455,25, Private,221757, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,3325,0,45
10667,44, State-gov,150755, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,5013,0,40
13242,58, Private,56392, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40
22684,76, Local-gov,178665, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,30
29573,66, Local-gov,179285, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,3432,0,20
13825,26, Private,56929, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,50
12104,32, Private,86808, HS-grad,9, Divorced, Adm-clerical, Other-relative, White, Female,0,0,40
17069,34, State-gov,98995, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40
1133,42, ?,184018, Some-college,10, Divorced, ?, Unmarried, White, Male,0,0,40
4688,31, Private,152940, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40
7617,35, Private,33397, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,0,0,35
15316,53, Private,215790, Some-college,10, Widowed, Adm-clerical, Other-relative, White, Female,0,0,22
983,45, Local-gov,318280, HS-grad,9, Widowed, Protective-serv, Not-in-family, White, Male,0,0,40
27183,23, Private,203139, Some-college,10, Never-married, Other-service, Other-relative, White, Female,0,0,40
31037,33, Private,202642, Bachelors,13, Separated, Prof-specialty, Other-relative, Black, Female,0,0,40
23080,47, Private,115813, Assoc-acdm,12, Separated, Adm-clerical, Unmarried, White, Female,0,0,57
26024,23, Private,292023, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,30
27217,32, Private,106014, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,5178,0,50
1970,31, ?,672412, 11th,7, Separated, ?, Not-in-family, Black, Male,0,0,40
11595,52, Federal-gov,221532, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45
12665,44, Private,427952, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40
21786,20, Private,219262, 11th,7, Never-married, Craft-repair, Not-in-family, White, Male,0,0,60
12890,51, Private,41806, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40
235,40, State-gov,170525, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38
9897,21, Private,187513, Assoc-voc,11, Never-married, Craft-repair, Unmarried, White, Male,0,0,40
15835,51, Private,87205, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,0,0,55
22464,23, Private,53513, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Female,0,0,45
20283,34, Private,263307, Bachelors,13, Never-married, Sales, Unmarried, Black, Male,0,0,45
26869,38, Private,179488, Assoc-acdm,12, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40
16042,25, Private,137301, Assoc-acdm,12, Never-married, Prof-specialty, Own-child, White, Female,0,0,40
24802,18, Private,111256, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,20
19673,33, Private,243674, HS-grad,9, Separated, Tech-support, Not-in-family, White, Male,0,0,46
18450,70, Private,206232, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50
7416,23, Private,273206, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,23
27808,30, Private,39386, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,99
5906,25, Private,257910, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50
13751,46, Private,181810, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,4064,0,40
30622,72, ?,402306, Some-college,10, Married-civ-spouse, ?, Husband, White, Male,0,0,32
30404,32, State-gov,147215, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,55
6984,55, State-gov,175127, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,7688,0,38
31663,61, ?,203849, Some-college,10, Divorced, ?, Not-in-family, White, Female,0,0,40
22546,47, Private,60267, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,38
25141,35, Private,195744, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40
21822,33, Private,319422, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60
17704,31, Private,101697, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40
1556,41, Self-emp-not-inc,195124, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,50
26703,47, Private,148995, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40
2800,17, Private,295488, 11th,7, Never-married, Other-service, Own-child, Black, Female,0,0,25
14548,52, Private,187356, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,41
29481,32, Private,257978, Assoc-voc,11, Widowed, Tech-support, Unmarried, Black, Female,0,0,40
3869,24, Private,611029, 10th,6, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40
26753,42, Self-emp-not-inc,101709, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,2885,0,40
31898,59, Private,159008, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,56
1953,66, Private,263637, 10th,6, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40
1016,51, Private,191965, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,0,0,32
3682,48, Private,62605, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35
19863,31, Private,179013, HS-grad,9, Separated, Craft-repair, Not-in-family, Black, Male,0,0,40
25155,40, Self-emp-not-inc,165108, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40
32283,26, Private,164488, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,10
6191,38, Private,258888, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35
15566,61, State-gov,159908, 11th,7, Widowed, Other-service, Unmarried, White, Female,0,0,32
21754,24, Private,268525, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,32
15593,34, Private,202822, Masters,14, Never-married, Tech-support, Unmarried, Black, Female,0,0,40
8269,43, Private,118308, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,50
12974,90, Private,250832, 10th,6, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40
8426,19, Private,70982, Assoc-voc,11, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,16
2018,23, Private,193089, 11th,7, Never-married, Craft-repair, Own-child, White, Male,0,0,40
6733,33, ?,177824, HS-grad,9, Separated, ?, Unmarried, White, Female,0,0,40
1085,32, Private,118161, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40
1632,27, Private,127796, 5th-6th,3, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,35
18350,19, Private,63918, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40
28589,21, Private,314165, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,40
14955,61, Private,136262, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50
13091,46, Local-gov,215895, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40
24357,21, Private,334113, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40
24051,62, Private,210935, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,20
8836,35, State-gov,150488, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40
22228,18, Private,40822, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15
10480,31, Private,129761, HS-grad,9, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40
504,24, Private,388093, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40
3691,46, Private,271828, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40
10579,48, Self-emp-inc,148995, Bachelors,13, Divorced, Sales, Not-in-family, White, Male,0,0,60
29357,35, Private,139647, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40
7421,18, Private,135924, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,0,0,20
20154,27, State-gov,21306, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40
27673,49, Private,191277, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40
19537,20, Private,298635, Some-college,10, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,30
18876,18, Private,311795, 12th,8, Never-married, Sales, Own-child, Black, Female,0,0,20
16413,38, Private,48093, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40
9589,47, Private,159550, HS-grad,9, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40
1491,45, Private,103538, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40
27471,47, Self-emp-not-inc,479611, Bachelors,13, Divorced, Sales, Not-in-family, White, Male,0,0,50
18884,46, Federal-gov,106252, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40
27024,36, Private,257380, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,35
6282,18, Private,215190, 12th,8, Never-married, Sales, Own-child, White, Female,0,0,20
16499,52, Private,178983, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40
5510,48, Private,94461, HS-grad,9, Widowed, Machine-op-inspct, Not-in-family, White, Female,0,0,16
7310,64, Private,174826, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40
15133,25, Federal-gov,406955, HS-grad,9, Never-married, Adm-clerical, Other-relative, White, Female,0,0,40
27805,32, Self-emp-not-inc,48014, Some-college,10, Divorced, Other-service, Not-in-family, White, Female,0,0,35
12150,25, Private,118088, HS-grad,9, Never-married, Craft-repair, Unmarried, White, Male,0,0,40
17557,32, Private,36302, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,50
23685,40, Private,199599, 10th,6, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40
24485,29, Federal-gov,37933, Some-college,10, Never-married, Adm-clerical, Unmarried, Black, Female,2174,0,40
6382,46, Self-emp-inc,191978, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2392,50
8326,43, State-gov,33331, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,70
24369,62, Private,132917, Some-college,10, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,20
28664,29, Private,176760, Prof-school,15, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,55
23918,46, Private,202560, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40
6137,21, Private,29810, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,50
25749,53, Private,479621, Assoc-voc,11, Divorced, Tech-support, Not-in-family, Black, Male,0,0,40
9868,34, Private,228881, Some-college,10, Separated, Machine-op-inspct, Not-in-family, Other, Male,0,0,40
20746,24, Private,229553, HS-grad,9, Never-married, Other-service, Own-child, Black, Female,0,0,20
10909,37, Private,134367, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,37
6038,55, ?,103654, HS-grad,9, Widowed, ?, Not-in-family, White, Female,0,0,20
29950,17, Private,112795, 10th,6, Never-married, Other-service, Own-child, White, Female,0,0,15
8595,42, Private,211253, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40
7708,37, Private,361888, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,10520,0,40
18273,46, Private,164749, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40
14433,29, Private,126822, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,35
27879,36, Private,182013, Some-college,10, Divorced, Tech-support, Unmarried, White, Female,0,0,40
12464,49, Private,140121, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Male,0,0,50
16182,51, Private,101722, 7th-8th,4, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,3908,0,47
18231,67, ?,37092, 7th-8th,4, Married-civ-spouse, ?, Husband, White, Male,0,0,4
24976,23, Private,224059, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40
1168,40, Private,182302, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40
25019,34, Private,271933, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Wife, White, Female,0,0,40
19675,56, Private,215839, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60
4392,19, ?,63574, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,50
15809,39, Private,236391, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45
15318,21, Private,111467, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40
8166,53, Local-gov,221722, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,14344,0,50
10312,64, Federal-gov,173754, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40
23952,22, Private,298489, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,40
2812,24, Private,379066, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,2205,24
29021,38, Self-emp-not-inc,192939, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50
11667,28, Private,337378, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40
9253,58, Federal-gov,175873, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40
5613,35, Private,204527, Masters,14, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50
7169,24, Private,117779, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Male,0,0,40
29740,50, Private,22211, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688,0,50
13768,30, Self-emp-inc,153549, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50
2615,27, Private,258102, 5th-6th,3, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40
30260,20, Private,117222, Some-college,10, Never-married, Tech-support, Own-child, White, Male,0,0,15
19974,37, Private,187748, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40
28230,39, Private,204527, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50
15780,37, Private,167482, 10th,6, Never-married, Craft-repair, Own-child, White, Male,0,0,35
5612,23, Private,291407, Some-college,10, Never-married, Sales, Own-child, Black, Male,0,0,25
23478,49, Local-gov,123088, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,46
94,29, Local-gov,115585, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50
32371,51, Private,40641, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60
19702,18, Private,338632, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,16
31725,42, Private,147251, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,36
31550,33, Private,188246, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40
29174,22, Private,48347, Some-college,10, Never-married, Tech-support, Own-child, White, Male,0,0,40
21067,36, Federal-gov,47310, Some-college,10, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,40
27307,50, Self-emp-not-inc,196504, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,23
24617,32, Private,160634, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60
4184,66, Private,102423, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,30
1579,26, Private,266912, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,50
9974,19, Private,69770, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,20
30549,43, Self-emp-not-inc,118261, Masters,14, Divorced, Other-service, Unmarried, White, Female,0,0,30
7462,68, ?,170182, Some-college,10, Never-married, ?, Unmarried, Black, Female,0,0,40
29194,48, Private,155509, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,16
29977,27, State-gov,291196, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40
28987,50, Private,269095, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40
7157,27, Private,188519, HS-grad,9, Divorced, Sales, Own-child, White, Female,0,0,40
28677,33, Private,263561, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60
24528,48, Private,176732, 9th,5, Divorced, Sales, Not-in-family, White, Female,0,0,40
26379,35, Self-emp-not-inc,22641, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,40
21290,47, Self-emp-inc,239321, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40
16023,57, Private,308861, Some-college,10, Separated, Sales, Not-in-family, White, Female,0,0,40
19147,27, Private,208725, Bachelors,13, Never-married, Craft-repair, Own-child, White, Male,0,0,40
31771,17, ?,256173, 10th,6, Never-married, ?, Own-child, White, Female,0,0,15
29540,53, Private,285621, Masters,14, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40
2982,55, Self-emp-not-inc,149168, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,30
19209,18, Self-emp-not-inc,207438, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40
12719,62, Self-emp-not-inc,320376, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,48
11564,43, Self-emp-inc,150533, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50
21376,57, Private,173580, Some-college,10, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,40
20960,29, Private,663394, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40
13000,62, Private,169204, HS-grad,9, Widowed, Craft-repair, Unmarried, White, Male,0,0,40
8959,57, Local-gov,339163, Some-college,10, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40
18667,23, Private,148709, HS-grad,9, Married-civ-spouse, Adm-clerical, Other-relative, White, Female,0,0,35
1843,53, Private,121618, 7th-8th,4, Never-married, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40
3747,35, Private,334291, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50
14324,38, Private,36989, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,3908,0,70
15538,35, Private,219902, HS-grad,9, Separated, Transport-moving, Unmarried, Black, Female,0,0,48
